step,horizon,training_episode_steps,window_start_mean,returns_mean,returns_std,persistent_episode_training,persistent_episode_step,segment_start,segment_end,episode_reset_count,episode_length_mean,episode_length_std,num_terminated,share_terminated,critic_loss_raw,critic_loss_weight,critic_loss_scaled,critic_output_mean,critic_target_mean,critic_error_mean,critic_error_norm,grad_norm,position_cost,orientation_cost,linear_velocity_cost,angular_velocity_cost,action_cost,weighted_cost,reward,finite,action_saturation_rate,action_abs_mean,action_abs_max,action_delta_mean,action_delta_max,hover_relative_action_mean,hover_relative_action_max,action_gradient_norm,raw_action_gradient_norm_pre_clip,raw_action_gradient_norm_post_clip,actor_gradient_norm_pre_clip,actor_update_norm
0,16,500,244.034,-8.45274,5.7746,1,0,0,16,0,16,0,0,0,0.0821919,0.1,0.00821919,0.0382111,-1.00098e-10,0.0382111,146.786,0.0110525,1.87079,5.13829,1.05378,0.388889,0.00098431,8.45274,-8.45274,true,0,0.100217,0.490656,0.0283866,0.863279,0.258234,1.0195,155.888,9.51467e-06,9.51467e-06,0.0110525,0.00342882
1,16,500,244.034,-10.8368,7.74411,1,16,16,32,0,16,0,0,0,0.590321,0.1,0.0590321,0.440668,-2.57888e-12,0.440668,393.382,0.218863,2.65983,4.75471,3.23076,0.191324,0.00019175,10.8368,-10.8368,true,0,0.0805522,0.31733,0.00458511,0.0325014,0.22974,0.793673,184.204,1.12429e-05,1.12429e-05,0.218863,0.00806546
2,16,500,244.034,-17.844,13.8886,1,32,32,48,0,16,0,0,0,0.336749,0.1,0.0336749,0.224161,-4.41089e-12,0.224161,297.114,0.177455,5.9173,4.26524,7.51526,0.146001,0.000176637,17.844,-17.844,true,0,0.0757834,0.326448,0.00325265,0.0221328,0.196141,0.755371,151.393,9.2403e-06,9.2403e-06,0.177455,0.00977829
3,16,500,244.034,-31.9883,26.9788,1,48,48,64,0,16,0,0,0,0.326061,0.1,0.0326061,0.109069,-1.34147e-10,0.109069,292.361,0.170624,14.8157,3.7804,13.2771,0.114869,0.00027256,31.9883,-31.9883,true,0,0.0980855,0.396136,0.0026176,0.0148658,0.16166,0.677851,189.802,1.15846e-05,1.15846e-05,0.170624,0.0111827
4,16,500,244.034,-56.8671,50.4046,1,64,64,80,0,16,0,0,0,0.290169,0.1,0.0290169,-0.0198626,1.42904e-10,-0.0198626,275.801,0.193091,33.5081,3.33265,19.9279,0.0978984,0.000435356,56.8671,-56.8671,true,0,0.125188,0.439455,0.00229854,0.0108588,0.129929,0.632685,185.544,1.13247e-05,1.13247e-05,0.193091,0.0112258
5,16,500,244.034,-96.6544,88.4878,1,80,80,96,0,16,0,0,0,0.294615,0.1,0.0294615,-0.206188,-4.05976e-11,-0.206188,277.906,0.343859,66.6401,2.90726,27.0091,0.0972963,0.000662766,96.6544,-96.6544,true,0,0.154323,0.516106,0.00213566,0.015665,0.105211,0.695799,182.493,1.11385e-05,1.11385e-05,0.343859,0.0106626
6,16,500,244.034,-155.777,146.419,1,96,96,112,0,16,0,0,0,0.375633,0.1,0.0375633,-0.406959,6.03901e-11,-0.406959,313.799,0.542832,118.983,2.48514,34.1969,0.111439,0.000926802,155.777,-155.777,true,0,0.181547,0.580864,0.00199095,0.0169701,0.102773,0.804479,195.774,1.19491e-05,1.19491e-05,0.542832,0.0115211
7,16,500,244.034,-238.613,229.906,1,112,112,128,0,16,0,0,0,0.53397,0.1,0.053397,-0.615195,-6.21155e-11,-0.615195,374.135,0.731379,195.168,2.06087,41.252,0.13066,0.00120458,238.613,-238.613,true,0,0.206157,0.646687,0.00180043,0.0146199,0.112198,0.89045,205.346,1.25333e-05,1.25333e-05,0.731379,0.0129596
8,16,500,244.034,-349.166,344.68,1,128,128,144,0,16,0,0,0,0.749494,0.1,0.0749494,-0.81623,2.89407e-12,-0.81623,443.255,0.88459,299.439,1.65701,47.9332,0.135222,0.00148121,349.166,-349.166,true,0,0.228379,0.697964,0.00164279,0.0162765,0.120921,0.945965,221.992,1.35493e-05,1.35493e-05,0.88459,0.0143253
9,16,500,244.034,-490.877,496.133,1,144,144,160,0,16,0,0,0,0.996948,0.1,0.0996948,-1.00193,-7.52554e-11,-1.00193,511.218,1.00394,435.41,1.30956,54.0351,0.121325,0.00174868,490.877,-490.877,true,0,0.248535,0.771001,0.00153371,0.0173533,0.126215,0.976366,259.005,1.58084e-05,1.58084e-05,1.00394,0.0154949
10,16,500,244.034,-666.542,689.081,1,160,160,176,0,16,0,0,0,1.25053,0.1,0.125053,-1.16555,1.19033e-10,-1.16555,572.554,1.10459,605.953,1.03533,59.4479,0.102363,0.00200048,666.542,-666.542,true,0,0.266719,0.887125,0.00142837,0.015956,0.128287,0.974461,279.136,1.70371e-05,1.70371e-05,1.10459,0.0165194
11,16,500,244.034,-878.222,927.497,1,176,176,192,0,16,0,0,0,1.49099,0.1,0.149099,-1.30412,9.86317e-11,-1.30412,625.184,1.20122,813.196,0.820564,64.1086,0.0930391,0.00223361,878.222,-878.222,true,4.76837e-05,0.282907,0.991917,0.00140489,0.022551,0.1283,0.977314,282.326,1.72318e-05,1.72318e-05,1.20122,0.0173328
12,16,500,244.034,-1127.06,1214.07,1,192,192,208,0,16,0,0,0,1.70812,0.1,0.170812,-1.4183,6.01531e-11,-1.4183,669.158,1.29506,1058.41,0.647551,67.8965,0.0954415,0.00244901,1127.06,-1127.06,true,0.000360489,0.297205,1,0.00143586,0.023286,0.12711,0.950466,288.735,1.76226e-05,1.76226e-05,1.29506,0.0179166
13,16,500,244.034,-1413.05,1549.76,1,208,208,224,0,16,0,0,0,1.89723,0.1,0.189723,-1.51051,-1.62612e-10,-1.51051,705.229,1.39498,1341.8,0.516099,70.6404,0.0896593,0.00264792,1413.05,-1413.05,true,0.00119019,0.309611,1,0.00148733,0.0244188,0.125128,0.880855,294.652,1.79819e-05,1.79819e-05,1.39498,0.0183444
14,16,500,244.034,-1735.11,1933.77,1,224,224,240,0,16,0,0,0,2.05831,0.1,0.205831,-1.58344,-1.87811e-10,-1.58344,734.557,1.50035,1662.36,0.428986,72.2337,0.083631,0.00283456,1735.11,-1735.11,true,0.00303459,0.320194,1,0.00158759,0.0249043,0.123206,0.793692,289.783,1.76771e-05,1.76771e-05,1.50035,0.0186073
15,16,500,244.034,-2090.97,2363.63,1,240,240,256,0,16,0,0,0,2.18991,0.1,0.218991,-1.63826,6.68984e-12,-1.63826,757.674,1.60372,2017.9,0.382204,72.604,0.0858111,0.00301289,2090.97,-2090.97,true,0.00621986,0.32911,1,0.00164733,0.028011,0.121757,0.755705,272.483,1.65954e-05,1.65954e-05,1.60372,0.0187421
16,16,500,244.034,-2477.01,2835.2,1,256,256,272,0,16,0,0,0,2.29283,0.1,0.229283,-1.67746,7.05304e-11,-1.67746,775.275,1.70289,2404.89,0.374486,71.6723,0.0755147,0.00318727,2477.01,-2477.01,true,0.0105648,0.336449,1,0.00171166,0.0273169,0.121974,0.814764,278.139,1.68947e-05,1.68947e-05,1.70289,0.0187964
17,16,500,244.034,-2888.5,3343.17,1,272,272,288,0,16,0,0,0,2.3688,0.1,0.23688,-1.70315,7.46395e-12,-1.70315,788.014,1.79039,2818.53,0.393482,69.5158,0.0559161,0.00335771,2888.5,-2888.5,true,0.0156155,0.342275,1,0.00175384,0.029525,0.124371,0.95018,304.55,1.84399e-05,1.84399e-05,1.79039,0.0187592
18,16,500,244.034,-3320.11,3882.12,1,288,288,304,0,16,0,0,0,2.4159,0.1,0.24159,-1.71554,-6.55123e-11,-1.71554,795.811,1.86299,3253.27,0.427065,66.37,0.0486563,0.00352114,3320.11,-3320.11,true,0.0216503,0.346575,1,0.0017583,0.0305763,0.127991,1.12843,289.108,1.74208e-05,1.74208e-05,1.86299,0.0186413
19,16,500,244.034,-3765.95,4446.62,1,304,304,320,0,16,0,0,0,2.43489,0.1,0.243489,-1.71601,-3.5253e-11,-1.71601,798.931,1.91995,3703.02,0.481733,62.4012,0.0510412,0.00367329,3765.95,-3765.95,true,0.0293865,0.349403,1,0.00173828,0.0357364,0.131542,1.30939,281.17,1.68469e-05,1.68469e-05,1.91995,0.0184596
20,16,500,244.034,-4219.31,5030.99,1,320,320,336,0,16,0,0,0,2.42789,0.1,0.242789,-1.706,7.21508e-11,-1.706,797.783,1.9612,4160.99,0.55611,57.7107,0.0477617,0.00380499,4219.31,-4219.31,true,0.0375404,0.350662,1,0.00169444,0.0348845,0.13569,1.30939,289.948,1.71688e-05,1.71688e-05,1.9612,0.0182257
