seed,group,phase,rows,first_step,last_step,first_loss,median_loss,final_loss,loss_slope,median_final_p,median_final_v,median_final_w,final_p,final_v,final_w,median_actor_grad_norm_pre_clip,actor_grad_clip_fraction,median_actor_grad_clip_scale,median_action_grad_norm_pre_clip,action_grad_clip_fraction,median_action_grad_clip_scale,action_mean,action_std,action_abs_mean,action_saturation_ratio,action_delta_mean,action_delta_max,loss_position_fraction,loss_velocity_fraction,loss_angular_velocity_fraction,loss_terminal_position_fraction,loss_terminal_velocity_fraction,loss_terminal_angular_velocity_fraction,training_success_rate,eval_euler_success,eval_l2f_success
2,success_control,H16_easy,500,0,499,1614.79,263.2505,93.1108,-3.0494573146292585,0.1720755,1.1262050000000001,2.57171,0.244214,1.09176,0.94183,3368.41,1.0,0.0148438,451.1625,0.0,1.0,-0.1646045,0.166318,0.188419,0.0,0.014322350000000001,0.075095,0.0006924429558261893,0.002740292900907492,0.026319816111264084,0.005467161330747872,0.1917213514283812,0.7256275967829933,1.0,0.51,0.4633333333333334
2,success_control,H32_easy,500,500,999,231.551,271.9525,214.233,-0.03470541082164325,0.4063915,2.148015,1.306715,0.408457,2.04579,0.684287,3183.3050000000003,1.0,0.01570695,349.354,0.0,1.0,-0.09091595,0.0983924,0.10942550000000001,0.0,0.010001325,0.0828382,0.002127993984648094,0.009616916652667905,0.016890463123232734,0.031270677616678164,0.6954426801544022,0.16850541063895016,0.25,0.51,0.4633333333333334
2,success_control,H64_easy,500,1000,1499,1542.47,695.1890000000001,534.347,-2.0202865731462927,1.30584,3.75347,0.8230770000000001,1.19988,3.26433,0.648111,9358.14,1.0,0.005342950000000001,844.1665,0.0,1.0,0.00972294,0.0701066,0.0690186,0.0,0.00679408,0.08663965000000001,0.005015758408963183,0.01128060789729183,0.0034040688400703966,0.11993512242876697,0.8064992096470839,0.028944976381911833,0.0,0.51,0.4633333333333334
2,success_control,H128_easy,2500,1500,3999,2492.97,1452.51,4361.3,0.7476310524209685,3.018625,3.96556,1.8788200000000002,3.94853,6.72609,6.54117,103819.0,1.0,0.000481606,5575.165,0.0,1.0,0.371386,0.10923050000000001,0.37204,0.0,0.01094875,0.147158,0.014087454064004565,0.00801175213828198,0.005216846360478356,0.34464368126396805,0.46858806626899074,0.09664971578475556,0.0,0.51,0.4633333333333334
2,success_control,H128_medium,2000,4000,5999,5770.94,740.1115,209.781,-2.781970485242621,2.24533,2.380915,1.966735,1.14142,1.01131,1.45769,165096.5,1.0,0.0003028525,8420.654999999999,0.0,1.0,0.5436894999999999,0.09916315,0.5438875000000001,0.0,0.007892565,0.20413350000000002,0.018719351687071464,0.008354595837948847,0.009064650403487143,0.355481450328007,0.34385363674384367,0.16900461290992608,0.0,0.51,0.4633333333333334
2,success_control,H128_full,6000,6000,11999,359.002,245.36,137.185,-0.03697566261043508,1.261795,0.9046985000000001,1.376125,0.996408,0.85892,0.879405,122372.0,1.0,0.00040858949999999995,5730.715,0.0,1.0,0.6765085,0.10711699999999999,0.676597,0.0,0.00834587,0.245126,0.030997084964899432,0.01048358722963151,0.020304984893034058,0.3867462882611874,0.18611336215070967,0.24576879710402333,0.5,0.51,0.4633333333333334
3,success_control,H16_easy,500,0,499,10908.5,732.646,88.9026,-21.68255991983968,0.162676,0.9792695,4.879295000000001,0.19313,0.944644,1.16573,10410.15,1.0,0.00480302,1170.96,0.0,1.0,0.1229325,0.1632415,0.153917,0.0,0.01216205,0.0717306,0.0002638794822192019,0.0007900371259668907,0.01970543969932401,0.0019248967310924211,0.052083595205484536,0.890100732205693,0.5,0.5633333333333334,0.5066666666666667
3,success_control,H32_easy,500,500,999,361.537,238.16649999999998,243.39,-0.23676753507014026,0.3729775,1.86507,1.4231250000000002,0.295804,2.0626,0.816646,5119.83,1.0,0.009765965,489.7715,0.0,1.0,0.125775,0.07097,0.1297385,0.0,0.0072803550000000005,0.0647581,0.002296434598127983,0.008470487155228738,0.022106985657584826,0.030280981664899002,0.6062531640369369,0.2367020220034064,0.75,0.5633333333333334,0.5066666666666667
3,success_control,H64_easy,500,1000,1499,961.374,529.0925,508.625,-0.907312625250501,1.1357300000000001,3.176715,1.0835249999999998,1.06081,3.05306,1.32889,12293.8,1.0,0.0040671100000000005,1125.565,0.0,1.0,0.1480595,0.060431700000000005,0.1489495,0.0,0.007329344999999999,0.0760457,0.0051808037297973435,0.010784744511265282,0.005019658214034479,0.11687862711293581,0.768736063498596,0.06110049216794819,0.0,0.5633333333333334,0.5066666666666667
3,success_control,H128_easy,2500,1500,3999,1955.95,1336.1399999999999,833.677,-0.44908883553421375,3.000455,3.99336,1.8630499999999999,1.84419,2.24094,3.84389,92141.85,1.0,0.000542642,5673.57,0.0,1.0,0.3114675,0.10025400000000001,0.3116765,0.0,0.01261585,0.126003,0.014111230722798762,0.007912533748819912,0.004376230034851354,0.33885728079973176,0.49705997768346843,0.08358539867885581,0.0,0.5633333333333334,0.5066666666666667
